Epoch,train_acc,val_acc
1,0.28406814,0.48547006
2,0.32865733,0.0025641026
3,0.3185371,0.48547006
4,0.35490984,0.08319089
5,0.36072144,0.3754986
6,0.3718437,0.36153844
7,0.3744489,0.3806268
8,0.3798597,0.38376072
9,0.40430862,0.2925926
10,0.40310624,0.32905984
11,0.4079158,0.29572648
12,0.41342682,0.277208
13,0.4145291,0.27008548
14,0.43196392,0.36666664
15,0.43597195,0.23618235
16,0.44579157,0.1977208
17,0.45490983,0.32364672
18,0.47494987,0.26153848
19,0.48587173,0.2082621
20,0.4985972,0.35612535
21,0.54488975,0.28831908
22,0.54739475,0.25669518
23,0.58597195,0.22364673
24,0.62124246,0.22336183
25,0.638978,0.197151
26,0.66883767,0.24074075
27,0.6885772,0.31424502
28,0.7200402,0.197151
29,0.7145291,0.24444443
30,0.7413827,0.28917378
31,0.75410813,0.24900286
32,0.7604208,0.26153845
33,0.7771543,0.27663815
34,0.7955912,0.26638177
35,0.7889779,0.22307691
36,0.8013027,0.2065527
37,0.80791587,0.2871795
38,0.82555115,0.2749288
39,0.8206413,0.27378917
40,0.8251504,0.22051282
41,0.8216433,0.2270655
42,0.83597195,0.2897436
43,0.847996,0.2982906
44,0.83366734,0.29031342
45,0.85470945,0.24045587
46,0.8460922,0.2626781
47,0.862024,0.2888889
48,0.85561126,0.23390315
49,0.8436873,0.22108264
50,0.8614228,0.23846152
